cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
iv	1623	109000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	109100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	109900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	198000	0	43638	33102	0	0	68986	0	112794	110057	0	90772	80992	0	83681	112835	0	89986	99989	0	194144	0	99407	70631	0	146880	118529	102427	50489	117324	0	37620	104106	0	76739	122702	0	194855	96
iv	1623	199000	11839486	10964021	11375441	11871276	12819420	14852122	16189113	16284315	17375911	17754523	18780442	19251543	19236254	20132481	21264441	22359457	22263457	23384075	20688791	21160265	20364212	19877830	19096778	20343445	20036451	16167185	14803649	14294390	13329368	12652268	11602296	10372876	11729335	11326930	11383022	13499450	14648653	13603340
iv	1623	200000	286726330	279585621	280174488	292205750	298048772	321563846	327838678	328390489	345746629	341733265	349571568	347484820	342685606	341384050	358043110	413052437	418294854	428233039	431806498	442160503	451692288	439703622	445764315	471424627	430990673	482095095	501962123	510001811	502634971	487799671	478392083	488606614	490744242	500829908	570953181	617340072	773288783	804509864
iv	1623	201000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	201900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	202000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	203000	65225	41236	30411	35642	27606	33279	29719	109952	44940	39248	38115	25143	59899	26995	48307	55886	45337	27874	47599	42885	17426	40867	14504	28534	30155	25182	42346	10848707	10792319	10449264	10101024	10726556	11092035	11830154	13034807	14839265	16893750	19524
iv	1623	203100	45664	24688	25983	29961	24445	22841	24667	51009	39731	34747	33049	19980	55598	23369	28527	30526	39647	21386	34190	41250	15174	39496	11263	22432	28810	24074	11003	10719410	10746028	10426487	10094785	10722734	11086657	11826857	13033103	14812085	16892796	15507
iv	1623	203200	19561	16548	4428	5681	3161	10438	5052	58943	5209	4501	5066	5163	4301	3626	5454	5455	1891	1199	1426	1144	399	64	59	132	304	105	55	122663	44263	47	45	1125	1138	499	120	22355	181	608
iv	1623	203900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14326	19905	3799	5289	11983	491	1853	1307	3182	5970	1041	1003	31288	6634	2028	22730	6194	2697	4240	2798	1584	4825	773	3409
iv	1623	204000	12972374	12897720	15665974	16620172	16180224	17927524	18049117	17079691	18193268	18413396	16955364	21381850	20949738	21204879	21545479	22948415	22111412	33543539	24318240	24973056	25177576	17147389	16279692	19048389	18169113	19807896	19258184	13234814	7512586	7010019	6711958	5587239	5757558	12018109	17734970	6600300	47917700	9683191
iv	1623	205000	272698623	265768938	263568800	274473601	280762407	302363273	308399230	309779269	326052472	321970016	331462365	325002072	320535726	319044619	335378613	388317850	394745541	393258983	405932826	415751019	424941067	421344544	428310197	451062991	411774477	460968187	481581417	484778884	483262912	469221370	460736054	471388056	472591151	475901803	538913441	594198429	707339055	793062381
iv	1623	205100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
