cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
itogo	3340	205520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	205530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	205600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	205700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	205900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	206000	0	0	0	5000000	5000000	5000000	5000000	5000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	16000000	16000000	16000000	25000000	25000000	25000000	25000000	20649336	20649336	20649336	20649336	20649336	16122763	16122763	16122763	16122763	16122763	16122763
itogo	3340	207000	7614500	7614500	7614500	7614500	3624500	3624500	3624500	4500	4500	0	0	0	5500000	6000000	6000000	6000000	6000000	6000000	900000	1400000	1400000	1400000	1400000	1400000	1400000	1400000	1400000	1400000	1400000	1400000	1000000	0	0	0	0	0	0	0
itogo	3340	208000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	209000	3338000	3297286	3271684	3427771	3312613	3312261	3368454	3240030	3302775	3406247	3343933	3260768	3304382	3439680	3400654	3441551	3563396	3524961	3488723	3536863	3578486	3715768	3606521	3692678	3668942	3803148	3852783	3913675	4004367	4218334	4304795	4443928	4513018	4779827	4766974	4431040	4852457	4927867
itogo	3340	209100	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	0	0	0	0	0	0	0	0	0	0
itogo	3340	209200	323	307	296	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	209300	0	0	0	0	847	849	852	2774	4168	4190	6226	6107	3242	3263	1873	3772	1903	1918	1933	1948	1845	1852	3704	3724	5154	5179	5202	5227	9582	10384	10494	9551	8628	3732	4921	4939	3473	7534
itogo	3340	209400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	5000	5000	5000	11000	11000	11000
itogo	3340	209500	459182	450379	437290	640854	598053	537827	550677	556546	507245	395176	433249	480460	618110	784611	780515	863614	810657	742861	735953	776284	746768	748530	740796	822162	900802	1045499	1093658	1096078	1402647	1618543	1697140	1729775	1713813	1864519	1854850	1841424	2303968	2324925
itogo	3340	209600	1242614	1220668	1196322	1170589	769453	789445	836376	764254	537713	493001	474166	495367	467611	453068	421101	496441	530787	530729	513844	491727	503305	605084	422030	427698	395556	406770	387789	374231	364671	319720	294951	482015	365223	335383	313251	305701	318602	314349
itogo	3340	209700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	209800	1276396	1277611	1297914	1308759	1614504	1633731	1565903	1517498	1879735	1869424	1885684	1809945	1798056	1797902	1815328	1701691	1863792	1870388	1865391	1754824	1770437	1777661	1935717	1659857	1693987	1605687	1613388	1730145	1723815	1765468	1808219	1803309	1971271	2023608	2048430	1744589	1598517	1606201
itogo	3340	209900	254485	243321	234862	202267	224756	245409	309646	293958	268914	539456	439608	363889	312363	295836	276837	271033	251257	274065	266602	407080	451131	477641	399274	674237	568443	635013	647746	602994	503652	504219	493991	409278	449083	547585	540522	523387	616897	663858
itogo	3340	298000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	299000	110063	419454	709675	139339	366926	672743	2327613	471486	785537	298195	438723	764822	555190	744341	734721	313122	498047	960938	746671	832992	942830	413379	1134637	2394101	1008432	1210860	1096918	677005	874032	996932	691221	906362	856827	570293	2821818	811343	506509	1200586
itogo	3340	307101	963646	972135	979542	986950	1016901	1024308	1031716	1045103	1354867	1412806	1419214	1424869	1607753	2038844	2043373	2036873	2034352	2034347	2033929	1894483	1894483	1907483	2083983	1734977	2027168	2018009	2023118	2012609	2466796	2475154	2476908	2390171	3094642	3057753	3173753	2846001	3036066	3025433
itogo	3340	307112	704446	711854	719261	726669	734077	741484	748892	756300	1060000	1060000	1060000	1060000	1060000	1216319	1216319	1216319	1216319	1216319	1216319	1060000	1060000	1073000	1249500	899347	910222	902077	902077	902077	902077	902077	902077	785676	1153697	1108227	1108227	778903	778903	778903
itogo	3340	307122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3340	307132	257609	257609	257609	257609	257609	257609	257609	257609	257609	297492	297492	297492	297492	571915	571915	571915	571915	571915	571915	588806	588806	588806	588806	588806	868974	866854	866854	866854	1333412	1322911	1312736	1332737	1544237	1544237	1544237	1544237	1732487	1732487
itogo	3349	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	3349	100000	1490076200	1464791180	1445260772	1446683801	1465559989	1510224566	1570894797	1578099219	1640561921	1619502627	1636912490	1644540940	1702049982	1678689569	1718378201	1710443678	1726568183	1722764429	1819859119	1803535681	1816806643	1814335729	1892537261	1880897799	1964404276	1893523321	1913296515	1951189340	1935993276	1996865138	1945525015	1971131586	1979553810	2088462871	2120997963	2183995732	2237567393	2373030978
itogo	3349	101000	19634677	21419170	20765814	19972717	20047367	22281402	21068672	22058995	21133739	22775701	23422669	22270247	23281833	17908626	17320788	16450449	17104649	15571356	17492157	18169629	17685037	18952508	19275905	19268400	22490297	19441071	19085067	21831244	21286960	21461259	21509706	20904592	20628925	22929964	21652079	24709941	37037028	34155828
itogo	3349	101100	19634677	21419170	20765814	19972717	20047367	22281402	21068672	22058995	21133739	22775701	23422669	22270247	23281833	17908626	17320788	16450449	17104649	15571356	17492157	18169629	17685037	18952508	19271704	19249435	22479879	19430805	19053426	21789320	21212676	21372980	21425800	20811866	20526888	22794677	21491956	24540554	36834495	33930390
itogo	3349	101900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4201	18965	10418	10266	31641	41924	74284	88279	83906	92726	102037	135287	160123	169387	202533	225438
itogo	3349	102000	41320696	28166445	25201267	23083976	25090391	26218337	27171061	24699326	79853776	28516381	27752585	28822066	55416206	25499302	27539170	26632999	39354024	36321782	35576815	30735105	30989281	27557236	24256593	26762381	48546121	25611258	23841357	34244508	61707045	36127634	27503711	24180682	22503043	21725543	27106189	37599132	47302361	39845987
itogo	3349	103000	49399453	55330558	66281203	21920215	28655766	25994329	42357145	30459955	17039496	23026183	23342006	21309814	23695739	22454940	20551183	16031166	16258665	16742312	15533123	14821133	13981247	13926854	14146818	16190964	33207683	16643538	23327184	34754987	18583773	22910912	26159200	24638799	18252130	9199948	9939400	8750768	12321268	20057871
itogo	3349	103100	126454	249296	178699	225040	334464	307969	90554	365339	410307	268796	200388	281428	343807	204386	212714	325686	280838	170743	223521	276450	175544	200013	200698	268082	318576	238087	353026	320480	313987	455621	530115	441909	469479	472457	496141	502882	851224	1013236
itogo	3349	103200	49272999	55081262	66102504	21695175	28321302	25686360	42266591	30094616	16629189	22757387	23141618	21028386	23351932	22250554	20338469	15705480	15977827	16571569	15309602	14544683	13805703	13726841	13946120	15922882	32889107	16405451	22974158	34434507	18269786	22455291	25629085	24196890	17782651	8727491	9443259	8247886	11470044	19044635
itogo	3349	104000	113966555	110097999	112383477	123294171	123510888	129577915	127543944	117000615	112344494	115930925	116416759	120464002	116112884	122104116	129024820	112768894	103818164	104817317	122936741	127689939	129994807	118036095	114065621	118465644	123998319	130948720	132473883	132895551	135764242	135429787	133120271	143690981	147221340	154127365	157769289	149740184	165990317	170594556
itogo	3349	104100	110332917	106532423	108996626	104507034	104665075	110216879	108177874	97431888	92654339	96176236	96659092	99548487	95122825	101183415	103967126	107387444	98978371	99886072	117993189	122646528	125228799	112482357	108336270	112397442	117046850	118521966	119392094	120125459	122777318	122302369	119995458	127037342	131200211	137406115	141379817	133309356	142117454	145940727
itogo	3349	104200	9887	12421	11975	11196	10614	9158	9548	9113	9108	9134	9380	8921	9197	9473	9554	8601	8388	7964	8189	38040	37927	38521	39213	39234	40292	39045	38926	37333	6941	8312	7283	7092	6849	7010	7053	8040	11037	11259
itogo	3349	104300	1876267	1805671	1627392	17028457	17087715	17604394	17609038	17812130	17933563	17998311	18001043	19159350	19233618	19163984	23300896	3625605	3084161	3176037	3188119	3258127	2980837	3767973	3942894	4281724	5163933	10640465	11295619	10985515	11202739	11341862	11320286	14849303	14217036	14846996	14515175	14555544	21994582	22775326
