REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	32108	1	0.0	92473110.0	92473110.0	0.0	3378700.0	3378700.0	0.0	3326030.0	3326030.0	0.0	92525780.0	92525780.0	2013-01-01	1.0
1.0	À	32109	1	0.0	14766762.0	14766762.0	0.0	419183.0	419183.0	0.0	956418.0	956418.0	0.0	14229527.0	14229527.0	2013-01-01	1.0
1.0	À	32201	1	0.0	2485.0	2485.0	200310.0	65.0	200375.0	18709.0	120.0	18829.0	181601.0	2430.0	184031.0	2013-01-01	1.0
1.0	À	32202	1	0.0	0.0	0.0	37795809.0	0.0	37795809.0	37795809.0	0.0	37795809.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	32203	1	4888576.0	0.0	4888576.0	14125033.0	0.0	14125033.0	19013609.0	0.0	19013609.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	32204	1	775413.0	0.0	775413.0	11238823.0	0.0	11238823.0	2329536.0	0.0	2329536.0	9684700.0	0.0	9684700.0	2013-01-01	1.0
1.0	À	32402	1	0.0	0.0	0.0	0.0	2798.0	2798.0	0.0	2798.0	2798.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	32502	1	0.0	0.0	0.0	0.0	1728.0	1728.0	0.0	1728.0	1728.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	32902	1	17529466.0	0.0	17529466.0	60760350.0	0.0	60760350.0	73489680.0	0.0	73489680.0	4800136.0	0.0	4800136.0	2013-01-01	1.0
1.0	À	44207	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	44209	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	44608	1	0.0	321978.0	321978.0	0.0	11764.0	11764.0	0.0	11581.0	11581.0	0.0	322161.0	322161.0	2013-01-01	1.0
1.0	À	44906	1	200000.0	0.0	200000.0	200000.0	0.0	200000.0	0.0	0.0	0.0	400000.0	0.0	400000.0	2013-01-01	1.0
1.0	À	44907	1	200000.0	0.0	200000.0	0.0	0.0	0.0	0.0	0.0	0.0	200000.0	0.0	200000.0	2013-01-01	1.0
1.0	À	45103	1	0.0	0.0	0.0	17310.0	0.0	17310.0	8180.0	0.0	8180.0	9130.0	0.0	9130.0	2013-01-01	1.0
1.0	À	45105	1	71000.0	0.0	71000.0	0.0	0.0	0.0	0.0	0.0	0.0	71000.0	0.0	71000.0	2013-01-01	1.0
1.0	À	45107	1	2007081.0	0.0	2007081.0	327500.0	0.0	327500.0	40974.0	0.0	40974.0	2293607.0	0.0	2293607.0	2013-01-01	1.0
1.0	À	45108	1	47630.0	0.0	47630.0	0.0	0.0	0.0	1488.0	0.0	1488.0	46142.0	0.0	46142.0	2013-01-01	1.0
1.0	À	45201	1	5842341.0	1112853.0	6955194.0	9887474.0	620343.0	10507817.0	10859433.0	930422.0	11789855.0	4870382.0	802774.0	5673156.0	2013-01-01	1.0
1.0	À	45203	1	432300.0	0.0	432300.0	833005.0	0.0	833005.0	1006360.0	0.0	1006360.0	258945.0	0.0	258945.0	2013-01-01	1.0
1.0	À	45204	1	2687834.0	709912.0	3397746.0	1548811.0	882495.0	2431306.0	1673051.0	554074.0	2227125.0	2563594.0	1038333.0	3601927.0	2013-01-01	1.0
1.0	À	45205	1	12630937.0	2850681.0	15481618.0	2491673.0	873544.0	3365217.0	4570061.0	633657.0	5203718.0	10552549.0	3090568.0	13643117.0	2013-01-01	1.0
1.0	À	45206	1	36929499.0	19414463.0	56343962.0	6935509.0	1507967.0	8443476.0	6163832.0	5160203.0	11324035.0	37701176.0	15762227.0	53463403.0	2013-01-01	1.0
1.0	À	45207	1	63754657.0	47482804.0	111237461.0	5539618.0	2747380.0	8286998.0	4728982.0	3155439.0	7884421.0	64565293.0	47074745.0	111640038.0	2013-01-01	1.0
1.0	À	45208	1	40070712.0	94699978.0	134770690.0	1304182.0	7738532.0	9042714.0	2544402.0	7640298.0	10184700.0	38830492.0	94798212.0	133628704.0	2013-01-01	1.0
